High,Low,Open,Close,Volume,Adj Close
4240.0,4170.0,4170.0,4230.0,72298800.0,3845.712646484375
4250.0,4200.0,4250.0,4200.0,55193600.0,3818.43798828125
4260.0,4180.0,4180.0,4260.0,158342200.0,3872.987060546875
4330.0,4280.0,4330.0,4310.0,107715700.0,3918.44482421875
4360.0,4260.0,4290.0,4360.0,170191100.0,3963.902099609375
4350.0,4290.0,4310.0,4310.0,82569600.0,3918.44482421875
4350.0,4290.0,4350.0,4330.0,59456000.0,3936.627685546875
4370.0,4320.0,4330.0,4360.0,102850200.0,3963.902099609375
4390.0,4350.0,4380.0,4380.0,81746600.0,3982.08544921875
4400.0,4350.0,4370.0,4360.0,102580700.0,3963.902099609375
4420.0,4380.0,4400.0,4420.0,104844900.0,4018.451416015625
4420.0,4360.0,4420.0,4410.0,134440200.0,4009.360107421875
4420.0,4360.0,4390.0,4400.0,74371900.0,4000.2685546875
4400.0,4360.0,4360.0,4390.0,38687900.0,3991.177001953125
4420.0,4380.0,4420.0,4400.0,53771200.0,4000.2685546875
4410.0,4370.0,4380.0,4400.0,46233200.0,4000.2685546875
4410.0,4370.0,4370.0,4410.0,64718300.0,4009.360107421875
4480.0,4400.0,4410.0,4470.0,80977700.0,4063.908935546875
4540.0,4480.0,4490.0,4510.0,91416500.0,4100.27490234375
4540.0,4490.0,4510.0,4510.0,64575400.0,4100.27490234375
4560.0,4520.0,4540.0,4530.0,68954800.0,4118.4580078125
4550.0,4500.0,4500.0,4550.0,84477400.0,4136.64111328125
4550.0,4500.0,4520.0,4520.0,65303400.0,4109.36669921875
4510.0,4440.0,4500.0,4450.0,77028200.0,4045.725830078125
4490.0,4440.0,4450.0,4480.0,64335100.0,4073.000732421875
4510.0,4460.0,4500.0,4500.0,41944400.0,4091.183349609375
4500.0,4470.0,4500.0,4490.0,43317300.0,4082.09228515625
4520.0,4440.0,4520.0,4450.0,53053100.0,4045.725830078125
4480.0,4450.0,4470.0,4460.0,60404000.0,4054.81787109375
4470.0,4400.0,4410.0,4440.0,77381500.0,4036.634033203125
4480.0,4440.0,4480.0,4460.0,91877000.0,4054.81787109375
4500.0,4460.0,4500.0,4500.0,68755800.0,4091.183349609375
4510.0,4450.0,4500.0,4480.0,105834600.0,4073.000732421875
4510.0,4410.0,4490.0,4450.0,143626600.0,4045.725830078125
4470.0,4390.0,4400.0,4450.0,119342500.0,4045.725830078125
4420.0,4270.0,4410.0,4270.0,150837200.0,3882.078369140625
4210.0,4020.0,4100.0,4100.0,247636800.0,3727.522705078125
4290.0,4140.0,4140.0,4250.0,146976400.0,3863.895751953125
4320.0,4250.0,4250.0,4290.0,93336500.0,3900.261962890625
4350.0,4300.0,4330.0,4330.0,82471300.0,3936.627685546875
4380.0,4290.0,4380.0,4300.0,51057200.0,3909.353271484375
4330.0,4250.0,4330.0,4280.0,80133600.0,3891.17041015625
4350.0,4310.0,4330.0,4330.0,93273200.0,3936.627685546875
4280.0,4180.0,4210.0,4250.0,115233200.0,3863.895751953125
4260.0,4200.0,4250.0,4210.0,93606900.0,3827.529541015625
4220.0,4130.0,4130.0,4180.0,60369000.0,3800.2548828125
4200.0,4090.0,4180.0,4100.0,102619200.0,3727.522705078125
4170.0,4040.0,4100.0,4050.0,84386400.0,3682.065185546875
4140.0,4000.0,4060.0,4070.0,124079400.0,3700.248291015625
4100.0,4020.0,4030.0,4080.0,58236900.0,3709.33984375
4070.0,4000.0,4020.0,4070.0,64788000.0,3700.248291015625
4210.0,4080.0,4130.0,4200.0,178201800.0,3818.43798828125
4240.0,4190.0,4220.0,4190.0,99957200.0,3809.346435546875
4220.0,4160.0,4220.0,4200.0,68027100.0,3818.43798828125
4270.0,4120.0,4190.0,4270.0,108998100.0,3882.078369140625
4280.0,4210.0,4270.0,4220.0,68472900.0,3836.62109375
4270.0,4130.0,4180.0,4150.0,76155900.0,3772.98046875
4180.0,4100.0,4180.0,4160.0,76686000.0,3782.072021484375
4230.0,4180.0,4220.0,4220.0,77131600.0,3836.62109375
4290.0,4250.0,4260.0,4270.0,114425200.0,3882.078369140625
4290.0,4170.0,4290.0,4170.0,68317900.0,3791.16357421875
4190.0,4150.0,4180.0,4190.0,69287000.0,3809.346435546875
4260.0,4150.0,4150.0,4250.0,114308200.0,3863.895751953125
4350.0,4270.0,4300.0,4280.0,87101400.0,3891.17041015625
4320.0,4280.0,4320.0,4310.0,56092800.0,3918.44482421875
4290.0,4100.0,4290.0,4190.0,132616600.0,3809.346435546875
4250.0,4130.0,4160.0,4250.0,107125600.0,3863.895751953125
4260.0,4210.0,4240.0,4240.0,76406800.0,3854.803955078125
4230.0,4200.0,4200.0,4220.0,92108100.0,3836.62109375
4220.0,4130.0,4200.0,4160.0,217504200.0,3782.072021484375
4200.0,4160.0,4160.0,4180.0,84900300.0,3800.2548828125
4160.0,4110.0,4160.0,4110.0,95076200.0,3736.6142578125
4120.0,4020.0,4070.0,4080.0,83155300.0,3709.33984375
4210.0,4100.0,4110.0,4210.0,80120800.0,3827.529541015625
4210.0,4160.0,4210.0,4180.0,57666400.0,3800.2548828125
4200.0,4110.0,4200.0,4120.0,76345500.0,3745.7060546875
4130.0,4070.0,4120.0,4070.0,79550900.0,3700.248291015625
4090.0,3920.0,4050.0,3930.0,166346200.0,3572.967041015625
3890.0,3810.0,3870.0,3810.0,177625500.0,3463.868896484375
3960.0,3860.0,3880.0,3950.0,93849800.0,3591.150146484375
3990.0,3860.0,3970.0,3900.0,126705700.0,3545.6923828125
3960.0,3890.0,3960.0,3930.0,119796000.0,3572.967041015625
3990.0,3920.0,3950.0,3960.0,117832100.0,3600.241455078125
3990.0,3880.0,3970.0,3890.0,107857100.0,3536.60107421875
3960.0,3910.0,3950.0,3920.0,102206600.0,3563.87548828125
3980.0,3910.0,3950.0,3920.0,109782800.0,3563.87548828125
3970.0,3890.0,3970.0,3940.0,128090900.0,3582.05859375
3990.0,3940.0,3960.0,3990.0,82010000.0,3627.51611328125
4050.0,3990.0,4000.0,4050.0,104547000.0,3682.065185546875
4190.0,4050.0,4050.0,4170.0,103613400.0,3791.16357421875
4190.0,4110.0,4170.0,4120.0,81121300.0,3745.7060546875
4140.0,4070.0,4080.0,4140.0,82586400.0,3763.888916015625
4180.0,4080.0,4150.0,4180.0,127172900.0,3800.2548828125
4300.0,4180.0,4180.0,4300.0,157022200.0,3909.353271484375
4320.0,4220.0,4300.0,4230.0,112296600.0,3845.712646484375
4260.0,4220.0,4230.0,4230.0,38352600.0,3845.712646484375
4250.0,4180.0,4240.0,4230.0,82494100.0,3845.712646484375
4260.0,4190.0,4260.0,4250.0,47442000.0,3863.895751953125
4240.0,4160.0,4210.0,4210.0,75586200.0,3827.529541015625
4220.0,4150.0,4220.0,4180.0,63281400.0,3800.2548828125
4210.0,4150.0,4180.0,4160.0,50272200.0,3782.072021484375
4300.0,4170.0,4190.0,4300.0,132545000.0,3909.353271484375
4330.0,4160.0,4330.0,4160.0,132500400.0,3782.072021484375
4160.0,3960.0,4160.0,4000.0,292323600.0,3636.607666015625
4030.0,3980.0,4010.0,3990.0,134618100.0,3627.51611328125
4000.0,3950.0,3950.0,4000.0,114079500.0,3636.607666015625
4030.0,3980.0,4000.0,4000.0,109775100.0,3636.607666015625
4010.0,3920.0,4000.0,3960.0,150088500.0,3600.241455078125
3970.0,3900.0,3950.0,3940.0,118066000.0,3582.05859375
4100.0,3960.0,4000.0,4090.0,122007300.0,3718.431396484375
4140.0,4050.0,4090.0,4120.0,93147500.0,3745.7060546875
4190.0,4080.0,4150.0,4190.0,141181200.0,3809.346435546875
4260.0,4150.0,4170.0,4220.0,154808400.0,3836.62109375
4230.0,4140.0,4200.0,4220.0,114191700.0,3836.62109375
4250.0,4160.0,4230.0,4210.0,74696400.0,3827.529541015625
4180.0,4120.0,4150.0,4130.0,56593800.0,3754.79736328125
4180.0,4100.0,4150.0,4150.0,222076900.0,3772.98046875
4210.0,4100.0,4100.0,4170.0,66281400.0,3791.16357421875
4170.0,4050.0,4130.0,4050.0,61720000.0,3682.065185546875
4120.0,4010.0,4060.0,4090.0,64199200.0,3718.431396484375
4210.0,4120.0,4150.0,4210.0,55396900.0,3827.529541015625
4220.0,4160.0,4210.0,4170.0,43717700.0,3791.16357421875
4200.0,4120.0,4200.0,4130.0,50621200.0,3754.79736328125
4230.0,4170.0,4200.0,4220.0,72784100.0,3836.62109375
4250.0,4170.0,4250.0,4170.0,67202600.0,3791.16357421875
4210.0,4150.0,4190.0,4180.0,47839000.0,3800.2548828125
4180.0,4130.0,4140.0,4170.0,80011300.0,3791.16357421875
4210.0,4160.0,4190.0,4210.0,62962600.0,3827.529541015625
4270.0,4210.0,4230.0,4250.0,125551000.0,3863.895751953125
4290.0,4240.0,4280.0,4280.0,167616600.0,3891.17041015625
4350.0,4290.0,4300.0,4330.0,178955500.0,3936.627685546875
4360.0,4300.0,4360.0,4350.0,141046900.0,3954.810546875
4400.0,4350.0,4380.0,4400.0,158345700.0,4000.2685546875
4370.0,4320.0,4350.0,4350.0,94017600.0,3954.810546875
4370.0,4320.0,4350.0,4360.0,156213900.0,3963.902099609375
4470.0,4360.0,4450.0,4450.0,123276700.0,4045.725830078125
4450.0,4400.0,4420.0,4410.0,50234000.0,4009.360107421875
4440.0,4380.0,4380.0,4430.0,56465900.0,4027.54296875
4450.0,4360.0,4450.0,4400.0,66440200.0,4000.2685546875
4410.0,4360.0,4400.0,4410.0,41714100.0,4009.360107421875
4440.0,4390.0,4420.0,4420.0,82898300.0,4018.451416015625
4390.0,4320.0,4360.0,4370.0,44225100.0,3972.994140625
4410.0,4380.0,4410.0,4400.0,103948100.0,4000.2685546875
4400.0,4340.0,4380.0,4380.0,171751200.0,3982.08544921875
4420.0,4370.0,4400.0,4400.0,72072000.0,4000.2685546875
4430.0,4390.0,4430.0,4410.0,124809200.0,4009.360107421875
4510.0,4420.0,4430.0,4510.0,111351400.0,4100.27490234375
4600.0,4520.0,4540.0,4570.0,158414200.0,4154.82421875
4580.0,4530.0,4570.0,4580.0,102566700.0,4163.91552734375
4590.0,4510.0,4570.0,4570.0,133986100.0,4154.82421875
4640.0,4600.0,4620.0,4630.0,121175500.0,4209.37353515625
4690.0,4630.0,4690.0,4660.0,81837500.0,4236.6484375
4680.0,4640.0,4670.0,4670.0,73839600.0,4245.7392578125
4710.0,4670.0,4680.0,4710.0,82370500.0,4282.10546875
4760.0,4690.0,4720.0,4740.0,139861200.0,4309.38037109375
4750.0,4680.0,4730.0,4740.0,96017400.0,4309.38037109375
4700.0,4640.0,4700.0,4650.0,93704600.0,4227.556640625
4640.0,4570.0,4580.0,4620.0,95394600.0,4200.28173828125
4660.0,4600.0,4620.0,4620.0,194871800.0,4200.28173828125
4700.0,4580.0,4700.0,4580.0,87726300.0,4163.91552734375
4580.0,4460.0,4570.0,4460.0,137055500.0,4054.81787109375
4490.0,4450.0,4460.0,4460.0,131584600.0,4054.81787109375
4690.0,4520.0,4690.0,4560.0,112377400.0,4145.73291015625
4580.0,4510.0,4570.0,4560.0,91267300.0,4145.73291015625
4590.0,4530.0,4590.0,4550.0,94855500.0,4136.64111328125
4580.0,4540.0,4580.0,4550.0,133042500.0,4136.64111328125
4530.0,4400.0,4500.0,4500.0,170890600.0,4091.183349609375
4540.0,4480.0,4540.0,4510.0,85150100.0,4100.27490234375
4560.0,4520.0,4520.0,4530.0,130150400.0,4118.4580078125
4590.0,4540.0,4580.0,4570.0,79710700.0,4154.82421875
4590.0,4530.0,4530.0,4550.0,127004900.0,4136.64111328125
4540.0,4470.0,4480.0,4470.0,119759900.0,4063.908935546875
4500.0,4400.0,4470.0,4400.0,88694500.0,4000.2685546875
4480.0,4450.0,4460.0,4480.0,100810700.0,4073.000732421875
4580.0,4510.0,4520.0,4560.0,98180400.0,4145.73291015625
4560.0,4510.0,4560.0,4510.0,106960700.0,4100.27490234375
4540.0,4470.0,4540.0,4490.0,102908000.0,4082.09228515625
4550.0,4460.0,4460.0,4500.0,113929600.0,4091.183349609375
4510.0,4470.0,4500.0,4480.0,149197600.0,4073.000732421875
4380.0,4120.0,4380.0,4130.0,207157400.0,3887.482421875
4190.0,3910.0,3990.0,4190.0,191962700.0,3943.958984375
4200.0,3980.0,4190.0,3980.0,187659200.0,3746.29052734375
4180.0,4000.0,4050.0,4100.0,198413400.0,3859.243896484375
4240.0,4130.0,4140.0,4220.0,116305200.0,3972.197509765625
4300.0,4130.0,4290.0,4150.0,133588200.0,3906.307861328125
4050.0,4000.0,4040.0,4010.0,159391900.0,3774.52880859375
3950.0,3750.0,3900.0,3750.0,149028700.0,3529.79638671875
4030.0,3780.0,3780.0,3910.0,165975500.0,3680.40087890625
4030.0,3880.0,3950.0,3910.0,177519900.0,3680.40087890625
3840.0,3600.0,3820.0,3610.0,151940600.0,3398.017333984375
3770.0,3360.0,3610.0,3720.0,268837000.0,3501.55810546875
3750.0,3460.0,3750.0,3500.0,178420500.0,3294.4765625
3570.0,3260.0,3500.0,3260.0,208568600.0,3068.569580078125
3440.0,3090.0,3270.0,3140.0,248104200.0,2955.615966796875
3140.0,2930.0,3130.0,2930.0,137946900.0,2757.947509765625
2970.0,2730.0,2930.0,2810.0,598363000.0,2644.994140625
2700.0,2620.0,2650.0,2620.0,164404600.0,2466.151123046875
2750.0,2440.0,2580.0,2440.0,495129300.0,2296.720703125
3000.0,2500.0,2500.0,2940.0,634588200.0,2767.3603515625
3670.0,3000.0,3000.0,3230.0,480930500.0,3040.331298828125
3150.0,3010.0,3150.0,3010.0,217509200.0,2833.25
3200.0,2970.0,3100.0,3020.0,314996600.0,2842.662841796875
3080.0,2900.0,3010.0,2930.0,271743600.0,2757.947509765625
2900.0,2800.0,2850.0,2870.0,299882400.0,2701.470947265625
2950.0,2830.0,2930.0,2890.0,293146900.0,2720.29638671875
3030.0,2910.0,2950.0,3020.0,285099900.0,2842.662841796875
3240.0,2950.0,3100.0,3030.0,405389200.0,2852.075439453125
3040.0,2820.0,3000.0,2820.0,292946600.0,2654.40673828125
2910.0,2750.0,2860.0,2790.0,265787000.0,2626.16845703125
2840.0,2700.0,2790.0,2770.0,123731400.0,2607.3427734375
2900.0,2770.0,2790.0,2900.0,219734000.0,2729.709228515625
2990.0,2730.0,2900.0,2760.0,319095100.0,2597.93017578125
2770.0,2580.0,2770.0,2610.0,367748800.0,2456.73828125
2840.0,2660.0,2670.0,2830.0,402325500.0,2663.81982421875
2900.0,2760.0,2880.0,2780.0,222008500.0,2616.755859375
2790.0,2690.0,2750.0,2720.0,132873300.0,2560.27880859375
2830.0,2650.0,2700.0,2790.0,179543300.0,2626.16845703125
2880.0,2790.0,2830.0,2800.0,216170700.0,2635.581298828125
2800.0,2630.0,2800.0,2630.0,293711300.0,2475.563720703125
2700.0,2610.0,2680.0,2660.0,182608400.0,2503.80224609375
2690.0,2570.0,2680.0,2590.0,268296100.0,2437.91259765625
2620.0,2560.0,2600.0,2580.0,209136400.0,2428.499755859375
2740.0,2610.0,2620.0,2730.0,432073900.0,2569.691650390625
2680.0,2600.0,2670.0,2630.0,200608900.0,2475.563720703125
2680.0,2610.0,2630.0,2630.0,184761500.0,2475.563720703125
2650.0,2600.0,2630.0,2620.0,173052900.0,2466.151123046875
2660.0,2580.0,2640.0,2590.0,205764900.0,2437.91259765625
2640.0,2600.0,2630.0,2620.0,154599200.0,2466.151123046875
2630.0,2470.0,2620.0,2490.0,368672700.0,2343.78466796875
2520.0,2440.0,2460.0,2470.0,338592200.0,2324.959228515625
2480.0,2330.0,2440.0,2350.0,470265100.0,2212.005615234375
2400.0,2210.0,2380.0,2240.0,594658300.0,2108.465087890625
2270.0,2160.0,2250.0,2170.0,455462600.0,2042.575439453125
2420.0,2250.0,2250.0,2370.0,531310100.0,2230.831298828125
2500.0,2320.0,2360.0,2480.0,394395900.0,2334.3720703125
2550.0,2470.0,2550.0,2520.0,404097300.0,2372.023193359375
2630.0,2520.0,2540.0,2630.0,432813000.0,2475.563720703125
2780.0,2640.0,2640.0,2730.0,453391300.0,2569.691650390625
2950.0,2700.0,2700.0,2950.0,872607300.0,2776.773193359375
3290.0,2950.0,2950.0,3180.0,467460800.0,2993.267333984375
3280.0,3010.0,3200.0,3100.0,438099000.0,2917.965087890625
3200.0,3030.0,3120.0,3060.0,250143200.0,2880.31396484375
3130.0,2960.0,3070.0,3110.0,267393400.0,2927.3779296875
